| NO\_HEADER | NO\_HEADER | NO\_HEADER |
| تحسين أمر تلقين Antigravity.docx | \-1 | 2026-03-28 7:56:05 |
| ULTIMATE\_ANTIGRAVITY\_PROMPT\_V2.md.docx | \-1 | 2026-03-28 7:56:04 |
| Improving AI Text Render Prompts.docx | \-1 | 2026-03-28 7:55:56 |
| Strategic Handover for New Director.docx | \-1 | 2026-03-28 7:55:40 |
| تحسين وثيقة تأهيل ذوي الإعاقة.docx | 1971542 | 2026-03-28 7:55:39 |
| العقل والجسد: بناء الوعي الرقمي.docx | \-1 | 2026-03-28 7:55:34 |
| بصيرة 5 خطوة نحو اكتمال التطبيق.docx | \-1 | 2026-03-28 7:55:34 |
| basira-5.0-implementation-plan.docx | 17067 | 2026-03-28 7:55:33 |
| إعداد دعوى قضائية ضد رفض ضمني.docx | \-1 | 2026-03-28 7:55:28 |
| الدليل\_الذهبي\_للتميز\_المؤسسي.docx | 2512305 | 2026-03-28 7:55:27 |
| التحليل\_الشامل\_لنظام\_الجودة\_127\_عملية.xlsx | \-1 | 2026-03-28 7:55:26 |
| IMG\_3007.HEIC | 2852449 | 2026-03-28 7:55:25 |
| تحويل خطة التطبيق لأصول تنفيذية.docx | \-1 | 2026-03-28 7:55:15 |
| نسخة مترجمة من Good.docx | \-1 | 2026-03-28 7:55:14 |
| نسخة مترجمة من نسخة مترجمة من Good.docx | \-1 | 2026-03-28 7:55:14 |
| بصيرة ، الوثيقة المرجعية.pptx | \-1 | 2026-03-28 7:55:07 |
| إعداد ملف إحاطة استراتيجي للمقابلة القيادية.docx | \-1 | 2026-03-28 7:55:06 |
| ابتداء اريد منك ان تقوم بالتالي اعاده الصياغه مره اخرى بالنسبه للموقفين .docx | \-1 | 2026-03-28 7:54:51 |
| سجل التنظيم الجديد.xlsx | \-1 | 2026-03-28 7:51:02 |
| مركز التأهيل الشامل بالباحة.pptx | \-1 | 2026-03-28 7:51:01 |
| مركز التأهيل الشامل بالباحة.pptx | \-1 | 2026-03-28 7:51:00 |
| جدول\_ربط\_المرفقات\_بأيام\_الغياب\_المحدث.xlsx | 16051 | 2026-03-28 7:50:59 |
| ايميل\_طلب\_الغاء\_الغياب\_واعادة\_الحسم\_22\_فبراير\_2026.docx | 14475 | 2026-03-28 7:50:58 |
| \*\*الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى - مركز التأهيل الشامل بالباحة\*\*.pptx | \-1 | 2026-03-28 7:50:57 |
| \*\*الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى - مركز التأهيل الشامل بالباحة\*\*.pptx | \-1 | 2026-03-28 7:50:56 |
| \*\*الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى - مركز التأهيل الشامل بالباحة\*\*.pptx | \-1 | 2026-03-28 7:50:55 |
| الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى.pptx | \-1 | 2026-03-28 7:50:54 |
| الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى.pptx | \-1 | 2026-03-28 7:50:53 |
| الدليل الإجرائي الشامل لتطبيق سياسات مكافحة العدوى.pptx | \-1 | 2026-03-28 7:50:52 |
| معالجة القصور الإجرائي لغياب غير مستحق.docx | \-1 | 2026-03-28 7:50:46 |
| تقييم معماري وتطوير لتطبيق بصيرة.docx | \-1 | 2026-03-28 7:50:46 |
| الصياغة\_النهائية\_طلب\_إلغاء\_الغياب\_HRSD.docx | 17084 | 2026-03-28 7:50:45 |
| تظلم موظف لرفع حسم مالي ومعالجة قصور إداري.docx | \-1 | 2026-03-28 7:50:44 |
| تظلم مالي وإداري شامل للموظف.docx | \-1 | 2026-03-28 7:50:43 |
| 999 تحقيق التميز المؤسسي والابتكار في المملكة العربية السعودية، مع التركيز بشكل خاص على أنسنة الخدمات التقنية في مراكز التأهيل الشامل وتطوير منظومات البحث العلمي.docx | \-1 | 2026-03-28 7:50:42 |
| جدول إعادة التسمية - المجلد الرئيسي (مكافحة العدوى).docx | \-1 | 2026-03-28 7:50:41 |
| طلب\_إلغاء\_الغياب\_وإعادة\_الحسم\_هوية\_HRSD\_الرسمية.docx | 3035478 | 2026-03-28 7:50:41 |
| مكاشفة\_زميل\_رسالة\_شخصية.docx | 14244 | 2026-03-28 7:50:40 |
| طلب\_إلغاء\_الغياب\_وإعادة\_الحسم\_هوية\_HRSD\_الرسمية.docx (Converted - 2026-02-23 07:47).docx | \-1 | 2026-03-28 7:50:32 |
| مكاشفة\_زميل\_رسالة\_شخصية.docx (Converted - 2026-02-23 07:47).docx | \-1 | 2026-03-28 7:50:32 |
| basira-v2-presentation.pptx | 341378 | 2026-03-28 7:50:23 |
| basira-v2-presentation (1).pptx | \-1 | 2026-03-28 7:50:22 |
| Basira v2 Presentation.pptx | 4589047 | 2026-03-28 7:50:21 |
| IMG\_2837.HEIC | 2481441 | 2026-03-28 7:50:21 |
| IMG\_3082.MOV | 14903686 | 2026-03-28 7:50:20 |
| 6688686.png | 1338990 | 2026-03-28 7:50:19 |
| jjjjjjjjjjjjjjjjjjjjj.png | 1760008 | 2026-03-28 7:50:18 |
| جدول\_ايام\_الغياب\_والمرفقات\_الداعمة.xlsx | 12270 | 2026-03-28 7:50:16 |
| ايميل\_ونموذج\_278\_لوحدة\_الحضور.docx | 14257 | 2026-03-28 7:50:15 |
| بصيرة - مخرجات Gemini (الإصدار 3).docx | \-1 | 2026-03-28 7:50:13 |
| بصيرة v2 - الرؤية الرقمية للتمكين والتميز المؤسسي.docx | \-1 | 2026-03-28 7:50:12 |
| بصيرة - دليل التشغيل والصيانة لمراكز التأهيل.docx | \-1 | 2026-03-28 7:50:11 |
| بصيرة - الرعاية الذكية والتحول الرقمي في التأهيل.docx | \-1 | 2026-03-28 7:50:10 |
| بصيرة - دليل الحوكمة وإدارة الجودة.docx | \-1 | 2026-03-28 7:50:09 |
| بصيرة 2 - تعزيز الرعاية الذكية (نسخة تطويرية).docx | \-1 | 2026-03-28 7:50:09 |
| بصيرة - دليل الرعاية المتكاملة والتحول الرقمي.docx | \-1 | 2026-03-28 7:50:08 |
| بصيرة - التمكين وجودة الحياة في مراكز التأهيل.docx | \-1 | 2026-03-28 7:50:07 |
| بصيرة - التحول الرقمي في الرعاية الطبية والتأهيلية.docx | \-1 | 2026-03-28 7:50:07 |
| بصيرة - الدليل التقني لإدارة المستفيدين.docx | \-1 | 2026-03-28 7:50:06 |
| بصيرة - وثيقة الإحاطة الشاملة للمنظومة الرقمية.docx | \-1 | 2026-03-28 7:50:05 |
| بصيرة - تحليل النظام وابتكارات Gemini.docx | \-1 | 2026-03-28 7:50:04 |
| بصيرة - مسودة (يحتاج تسمية).docx | \-1 | 2026-03-28 7:50:04 |
| Drive\_Files\_Inventory\_2026.xlsx | \-1 | 2026-03-28 7:50:02 |
| تنظيم وإعادة تسمية مستندات جوجل درايف.docx | \-1 | 2026-03-28 7:50:00 |
| محضر الإعاشة المستلمة - مركز التأهيل الشامل بالباحة (قسم الإناث).xlsx | \-1 | 2026-03-28 7:49:54 |
| بيانات الجهاز ومعلومات الدعم الفني وكالة التحول الرقمي.docx | \-1 | 2026-03-28 7:49:23 |
| قائمة الروابط التقنية وأنظمة المستفيدين.docx | \-1 | 2026-03-28 7:49:22 |
| دليل آليات تقييم الأداء المؤسسي والحوكمة.docx | \-1 | 2026-03-28 7:49:22 |
| كود محرك تحسين المطالبات الذكي Prompt Engine.docx | \-1 | 2026-03-28 7:49:20 |
| نموذج التميز المهني وتقييم الأداء الذاتي.docx | \-1 | 2026-03-28 7:49:15 |
| دليل إرشادي لتنفيذ مهام مأمور العهدة وتأمين الكسوة.docx | \-1 | 2026-03-28 7:49:14 |
| تعديلات كود Dictation App وميزة تحسين المطالبة.docx | \-1 | 2026-03-28 7:49:10 |
| التقرير النهائي لاختبار وجاهزية نظام بصيرة.docx | \-1 | 2026-03-28 7:49:06 |
| جدول بيانات فارغ 1.xlsx | \-1 | 2026-03-28 7:49:05 |
| إجراءات نظام قياس رضا المستفيدين والتغذية الراجعة.docx | \-1 | 2026-03-28 7:49:04 |
| تفعيل بنود الأيزو 9001 التشغيلية بمركز التأهيل الشامل.docx | \-1 | 2026-03-28 7:49:03 |
| الوصف التنظيمي والمهام لأقسام الرعاية الطبية والتأهيلية.docx | \-1 | 2026-03-28 7:49:02 |
| آليات جمع البيانات وتحليل رضا المستفيدين ذوي الإعاقة.docx | \-1 | 2026-03-28 7:49:01 |
| سجل استلام الإعاشة لمقيمي قسم الإناث بالباحة.xlsx | \-1 | 2026-03-28 7:49:00 |
| basira-v3-security-addendum.docx | 22663 | 2026-03-28 7:48:47 |
| basira-v3-security-addendum.docx | 22663 | 2026-03-28 7:48:46 |
| basira-v3-technical-design.docx | 30721 | 2026-03-28 7:48:45 |
| backup22222 (1).pst | 2297521152 | 2026-03-28 7:48:45 |
| خطة هندسية وسيادية متكاملة.docx | \-1 | 2026-03-28 7:48:44 |
| خطة هندسية سيادية متكاملة للنظام.docx | \-1 | 2026-03-28 7:48:43 |
| التقرير المعماري والتشغيلي الشامل لنظام "بصيرة v3.docx | \-1 | 2026-03-28 7:48:33 |
| تسجيل جديد ٥.m4a | 72692614 | 2026-03-28 7:48:18 |
| إليك النص مفرغاً ومقسماً مع نقاط التوقف (الطوابع الزمنية):.docx | \-1 | 2026-03-28 7:48:17 |
| تحليل مفصل لمحادثة الذكاء الاصطناعي.docx | \-1 | 2026-03-28 7:48:16 |
| مناقشة حول تنظيم الحج.docx | \-1 | 2026-03-28 7:48:15 |
| تصدير من "Gemini" في ‎12 مارس 2026 في 4:42:34 م غرينتش+3.docx | \-1 | 2026-03-28 7:47:56 |
| \# مجموعة التسجيل 3 — تدريب الصوت (ساعة واحدة).docx | \-1 | 2026-03-28 7:47:49 |
| Basira App: Security & Compliance Master Plan.docx | \-1 | 2026-03-28 7:47:18 |
| تفكيك وهم الامتثال: حصن بصيرة v3.0.docx | \-1 | 2026-03-28 7:47:17 |
| تحدي بصيرة v3.0: الحكم الهندسي السيادي.docx | \-1 | 2026-03-28 7:47:16 |
| IMG\_3100.jpg | 146625 | 2026-03-28 7:47:15 |
| بلا عنوان.docx | \-1 | 2026-03-28 7:47:14 |
| بلا عنوان.docx | \-1 | 2026-03-28 7:47:13 |
| ثورة رقمية لكرامة الإنسان.docx | \-1 | 2026-03-28 7:47:05 |
| basira-guide.docx | 31333 | 2026-03-28 7:46:36 |
| تخصيص NotebookLM لتطبيق بصيرة.docx | \-1 | 2026-03-28 7:46:36 |
| الهندسة العكسية لبناء أدلة شاملة.docx | \-1 | 2026-03-28 7:46:35 |
| معمارية بصيرة: هندسة العائد الاجتماعي وكفاءة الإنفاق الاستراتيجي بصفتي كبير المهندسين المعماريين والمستشار الاستراتيجي لنظام "بصيرة v3.docx | \-1 | 2026-03-28 7:46:34 |
| عصف ذهني و تفاعل مع جيمناي ديب ثنك .docx | \-1 | 2026-03-28 7:46:33 |
| basira\_first\_prompt.md.docx | \-1 | 2026-03-28 7:46:32 |
| basira\_project\_setup.md.docx | \-1 | 2026-03-28 7:46:32 |
| New Recording 29.m4a | 4450768 | 2026-03-28 7:45:16 |
| مصفوفة عمليات نظام الجودة.xlsx | \-1 | 2026-03-28 7:45:10 |
| مصفوفة العمليات الرئيسية لنظام الجودة.xlsx | \-1 | 2026-03-28 7:45:09 |
| نتائج التقييم الذاتي للأداء.docx | \-1 | 2026-03-28 7:45:08 |
| وحدة التدقيق الرقمي الذاتي.docx | \-1 | 2026-03-28 7:45:07 |
| قائمة جرد أصناف ملابس.docx | \-1 | 2026-03-28 7:45:07 |
| قائمة جرد قمصان نسائية.docx | \-1 | 2026-03-28 7:45:06 |
| جدول أصناف ملابس نسائية.docx | \-1 | 2026-03-28 7:45:05 |
| جدول الأصناف والأسعار.docx | \-1 | 2026-03-28 7:45:05 |
| قائمة جرد أصناف نسائية.docx | \-1 | 2026-03-28 7:45:04 |
| قائمة جرد ملابس نسائية شتوية.docx | \-1 | 2026-03-28 7:45:03 |
| قائمة جرد البضاعة.docx | \-1 | 2026-03-28 7:45:02 |
| قائمة أسعار البضاعة.xlsx | \-1 | 2026-03-28 7:45:02 |
| محضر استلام سلفة كسوة متحركين.docx | \-1 | 2026-03-28 7:45:01 |
| محضر إعاشة إناث سبتمبر 2023.xlsx | \-1 | 2026-03-28 7:45:00 |
| خطة تنفيذ وموازنة برنامج بناء القدرات.docx | \-1 | 2026-03-28 7:44:59 |
| تحليل الأثر والباحة.docx | \-1 | 2026-03-28 7:44:59 |
| إيصال تحويل بنكي | 80858 | 2026-03-28 7:44:58 |
| التأهيل المجتمعي لذوي الاحتياجات.docx | \-1 | 2026-03-28 7:44:56 |
| مسودة تظلم أحمد الشهري.docx | \-1 | 2026-03-28 7:44:55 |
| دراسة جدوى أزهار السراة.docx | \-1 | 2026-03-28 7:44:55 |
| دليل إخلاء الطوارئ لذوي الإعاقة.docx | \-1 | 2026-03-28 7:44:54 |
| بيانات المستفيدات.xlsx | \-1 | 2026-03-28 7:44:53 |
| تحليل تشريحي تفصيلي للوجه.docx | \-1 | 2026-03-28 7:44:52 |
| إجراءات السلامة المهنية في المستشفى.docx | \-1 | 2026-03-28 7:44:52 |
| واجهات البيانات.docx | \-1 | 2026-03-28 7:44:51 |
| CSS تصميم الموقع العام.docx | \-1 | 2026-03-28 7:44:50 |
| نظام إدارة الإعاشة والمستفيدين.docx | \-1 | 2026-03-28 7:44:49 |
| مفتاح Key.docx | \-1 | 2026-03-28 7:44:49 |
| مقترح برنامج مكافحة العدوى.docx | \-1 | 2026-03-28 7:44:48 |
| عدم انطباق قرار مجلس الوزراء على المراكز.docx | \-1 | 2026-03-28 7:44:47 |
| أنواع البيانات والمخططات.docx | \-1 | 2026-03-28 7:44:46 |
| نظام إدارة الإعاشة.docx | \-1 | 2026-03-28 7:44:46 |
| تصميم واجهة المستخدم CSS.docx | \-1 | 2026-03-28 7:44:45 |
| أمثلة متنوعة في اللغة العربية.docx | \-1 | 2026-03-28 7:44:44 |
| ورقة موقف- الرد على التحقيق الإداري R-263555.docx | \-1 | 2026-03-28 7:44:43 |
| دليل إخلاء الطوارئ للأشخاص ذوي الإعاقة.docx | \-1 | 2026-03-28 7:44:43 |
| Rename Log.xlsx | \-1 | 2026-03-28 7:44:13 |
| The Anatomy of a Generative Agent\_ Building a Healthcare Assistant with Vertex AI Playbooks - Conversational Agents (Dialogflow CX) - Google Developer forums.pdf | 473585 | 2026-03-28 7:39:20 |
| chat with cluade about the develper fourm strange topics about buliding a usful agent as a developer topics.png | 882921 | 2026-03-28 7:39:19 |
| بناء ناطحة سحاب الذكاء الاصطناعي والابتكار.docx | \-1 | 2026-03-28 7:39:15 |
| ثورة إنسانية وتقنية ضد البيروقراطية.docx | \-1 | 2026-03-28 7:39:11 |
| AI Ensemble: Engineering Digital Mercy.docx | \-1 | 2026-03-28 7:39:07 |
| عصف ذهني لتطوير تطبيق بصيرة مع مجموعة من نماذج الذكاء الصناعي .docx | \-1 | 2026-03-28 7:39:04 |
| IMG\_2950.HEIC | 1363861 | 2026-03-28 7:39:03 |
| 1234 صوتي / | \-1 | 2026-03-28 7:19:12 |
| تطبيق صفر ورق/ | \-1 | 2026-03-28 7:18:46 |
| مجلد بلا عنوان/ | \-1 | 2026-03-28 7:18:26 |
| نزاهة/ | \-1 | 2026-03-28 7:18:10 |
| جوجل ستيتش stitch/ | \-1 | 2026-03-28 7:17:53 |
| تظلم ساعات عمل إضافية/ | \-1 | 2026-03-28 7:17:40 |
| سياسة التقييد والتعامل مع حالات الهياج النفسي/ | \-1 | 2026-03-28 7:17:25 |
| نظام إدارة المستفيدين الذكي مشروع التحول الرقمي - مبادرة صفر ورق/ | \-1 | 2026-03-28 7:17:20 |
| تقييم الاداء الوظيفي 2025/ | \-1 | 2026-03-28 7:17:07 |
| إنجازات و تحديات المركز/ | \-1 | 2026-03-28 7:16:56 |
| انجازاتي و التحديات ارشيفي الوظيفي/ | \-1 | 2026-03-28 7:16:42 |
| السلامة والصحة المهنية/ | \-1 | 2026-03-28 7:16:22 |
| مشروع ما تم في المركز من قبل الجودة من عام 2024 الي مشاكل الادارة و طلب الاعافاء / | \-1 | 2026-03-28 7:15:54 |
| ابحاثي مبادرات مشاريع / | \-1 | 2026-03-28 7:14:30 |
| كتب تأهيل و جودة/ | \-1 | 2026-03-28 7:14:00 |
| فواتير كسوة الشتاء/ | \-1 | 2026-03-28 7:13:30 |
| stitch\_home\_page/ | \-1 | 2026-03-28 7:13:13 |
| ‏الملفات المحفوظة من Chrome/ | \-1 | 2026-03-28 7:12:54 |
| نماذج اجراءات العمل في مراكز التأهيل الشامل (1) (Unzipped Files)/ | \-1 | 2026-03-28 7:12:34 |
| Saved from Chrome/ | \-1 | 2026-03-28 7:11:45 |
| التمكين المستقبلي / | \-1 | 2026-03-28 7:11:25 |
| سياسات المخاطر الوزارة التميز الابتكار / | \-1 | 2026-03-28 7:10:26 |
| مجلد بلا عنوان/ | \-1 | 2026-03-28 7:10:10 |
| قضية المحكمة الادارية / | \-1 | 2026-03-28 7:09:52 |
| سيارة بي واي دي byd/ | \-1 | 2026-03-28 7:09:39 |
| HRSD ألوان الهوية البصرية.docx | \-1 | 2026-03-27 10:09:47 |
| 06\_الموارد والمراجع والأرشيفات/ | \-1 | 2026-03-27 7:15:13 |
| ملفات PowerPoint/ | \-1 | 2026-03-27 7:12:35 |
| مقاطع صوتية 6/ | \-1 | 2026-03-27 7:09:23 |
| مقاطع صوتية 3/ | \-1 | 2026-03-26 21:03:52 |
| pst. export النسخة الاحتياطية من بريد العمل / | \-1 | 2026-03-23 0:33:05 |
| فهرس محتويات الدرايف/ | \-1 | 2026-03-22 20:34:06 |
| صور لاقسام بصيرة .docx | \-1 | 2026-03-22 12:48:08 |
| ملف الذاكرة والمستندات لنماذج الذكاء الصناعي / | \-1 | 2026-03-14 19:57:18 |
| مجموعة التسجيل 4/ | \-1 | 2026-03-13 9:25:10 |
| الأمن السبراني/ | \-1 | 2026-03-13 6:35:11 |
| basira\_v3\_compliance\_report.docx | 15689 | 2026-03-13 6:30:46 |
| basira\_v3\_gap\_analysis.xlsx | 21293 | 2026-03-13 6:30:46 |
| مجموعة التسجيل 3/ | \-1 | 2026-03-13 0:03:59 |
| الحسم نهائي / | \-1 | 2026-03-12 16:38:45 |
| Basira-v2 بصيرة 2/ | \-1 | 2026-03-08 14:12:31 |
| انتهاء البحث وتقديم المساعدة.xlsx | \-1 | 2026-03-06 6:16:31 |
| بصيرة - التطوير لتمكين ذوي الإعاقة.docx | \-1 | 2026-03-06 4:09:47 |
| مجلد بلا عنوان/ | \-1 | 2026-03-01 1:37:56 |
| معالجة الغياب / | \-1 | 2026-02-21 23:15:52 |
| 2025 مؤشرات الأداء البداية/ | \-1 | 2026-02-21 9:05:05 |
| ابحاثي مبادرات مشاريع/ | \-1 | 2026-02-21 9:02:49 |
| مكافحة العدوى/ | \-1 | 2026-02-21 9:02:04 |
| ملفات الصور/ | \-1 | 2026-02-21 8:57:13 |
| تقارير مركز التأهيل الشامل/ | \-1 | 2026-02-21 8:39:47 |
| ملفات الذكاء الاصطناعي/ | \-1 | 2026-02-21 8:39:46 |
| المراسلات والتعاميم/ | \-1 | 2026-02-21 8:39:45 |
| النماذج والاستمارات/ | \-1 | 2026-02-21 8:39:45 |
| التقارير الطبية والصحية/ | \-1 | 2026-02-21 8:39:44 |
| الاجتماعات والمحاضر/ | \-1 | 2026-02-21 8:39:43 |
| الجودة ISO والاعتماد/ | \-1 | 2026-02-21 8:39:43 |
| الموارد البشرية/ | \-1 | 2026-02-21 8:39:42 |
| ملفات PDF/ | \-1 | 2026-02-21 8:39:41 |
| لقطات الشاشة/ | \-1 | 2026-02-21 8:39:40 |
| مؤشرات الأداء 2026/ | \-1 | 2026-02-21 6:52:12 |
| مجلد بلا عنوان/ | \-1 | 2026-02-15 10:35:38 |
| الحسم/ | \-1 | 2026-02-15 10:23:45 |
| خطة تحسين تطبيق بصيرة الشاملة.docx | \-1 | 2026-01-31 22:56:45 |
| صور تطبيق بصيرة.docx | \-1 | 2026-01-31 22:56:15 |
| basera code / | \-1 | 2026-01-31 22:36:09 |
| تحسين نظام بصيرة للرعاية الصحية.docx | \-1 | 2026-01-24 16:34:55 |
| صور و شرح بصيرة .docx | \-1 | 2026-01-24 9:04:07 |
| تقرير للعرض بالصور عن تطبيق بصيرة يشرح واجهات التطبيق .docx | \-1 | 2026-01-24 9:01:48 |
| Al-Baha’s\_2026\_Shift\_From\_Charity\_to\_Rights.m4a | 58751928 | 2026-01-23 5:54:00 |
| الدليل\_الذهبي\_للتميز\_المؤسسي.docx | 18828 | 2026-01-18 18:53:51 |
| QUICK\_START\_AR.md.docx | \-1 | 2026-01-18 4:30:17 |
| FINAL\_ANTIGRAVITY\_PROMPT.md.docx | \-1 | 2026-01-18 4:30:17 |
| USAGE\_GUIDE\_AR.md.docx | \-1 | 2026-01-18 4:30:17 |
| بناءً على التقرير الرائع الذي أرفقته (Basira System Improvement Report).docx | \-1 | 2026-01-18 0:24:24 |
| BASIRA\_FULL\_EVALUATION\_REPORT.md.docx | \-1 | 2026-01-18 0:22:52 |
| BASIRA\_ANTIGRAVITY\_INSTRUCTIONS.md.docx | \-1 | 2026-01-17 20:31:32 |
| تطوير 2/ | \-1 | 2026-01-13 1:08:34 |
| تطوير 1/ | \-1 | 2026-01-13 1:02:52 |
| 04\_تمكين المرأة والنساء - حقوقهن والتزامات الدولة/ | \-1 | 2026-01-05 3:56:25 |
| 03\_ما بعد الجائحة 2022-2025 - مرحلة الوضوح والمساءلة/ | \-1 | 2026-01-05 3:55:38 |
| 02\_الجائحة والصعوبات الحقيقية 2020-2021/ | \-1 | 2026-01-05 3:54:51 |
| 01\_ما قبل 2020 - الدمج المجتمعي والتأسيس/ | \-1 | 2026-01-05 3:53:49 |
| جداول اكسيل ، تقييم / | \-1 | 2026-01-03 21:45:17 |
| 999 موضوع شامل عن عمليات المركز و حوكمتها و الجودة و الرقمنة و تطبيق صفر ورق.docx | \-1 | 2026-01-03 6:54:25 |
| امر تلقين بعد السجل الشامل.docx | \-1 | 2025-12-28 21:27:47 |
| سجل المخاطر بالمركز/ | \-1 | 2025-12-28 20:37:04 |
| شكوى كيدية سميرة/ | \-1 | 2025-12-28 13:24:35 |
| بصيرة الإعاشة/ | \-1 | 2025-12-28 4:57:59 |
| المخاطر و الفرع و الملاحظات / | \-1 | 2025-12-24 7:26:08 |
| تحليل فجوات خدمات ذوي الإعاقة.docx | \-1 | 2025-12-24 2:41:44 |
| basira-files-index.docx | 12481 | 2025-12-24 0:49:25 |
| نحو تمكين ذوي الإعاقة: رؤية 2030.docx | \-1 | 2025-12-24 0:48:39 |
| أنا و جيمناي ، عصف ذهني و تغيير بسيط .docx | \-1 | 2025-12-23 14:29:57 |
| بصيرة / | \-1 | 2025-12-23 13:00:32 |
| إليك تقرير "هندسة الفجوات" والحلول المقترحة لتحويل النظام إلى شريك ذكي:.docx | \-1 | 2025-12-23 11:40:07 |
| نماذج العمل / | \-1 | 2025-11-29 10:27:25 |
| النماذج للمركز كاملة/ | \-1 | 2025-09-19 18:28:03 |
| Google AI Studio/ | \-1 | 2025-06-06 15:40:41 |
| Google AI Studio/ | \-1 | 2025-06-06 13:21:53 |
| متفرقات/ | \-1 | 2025-06-06 13:21:53 |
| 1234 فديو/ | \-1 | 2025-06-06 8:37:29 |
| تفريغ النصوص لسياسات و الاجراءات و الأدلة الارشادية بالمركز / | \-1 | 2025-06-06 7:07:42 |
| دوري رياضي 1434 الشؤون الاجتماعية / | \-1 | 2025-06-06 7:07:42 |
| منصة استطلاع/ | \-1 | 2025-06-06 7:07:42 |
| مقاطع7/ | \-1 | 2025-06-06 7:07:42 |
| مقاطع٦/ | \-1 | 2025-06-06 7:07:42 |
| مقاطع5/ | \-1 | 2025-06-06 7:07:42 |
| مقاطع صوتية٢/ | \-1 | 2025-06-06 7:07:42 |
| web pages/ | \-1 | 2025-06-06 7:07:42 |
| دورة رياضية قديمة/ | \-1 | 2025-06-06 7:07:42 |
| نماذج تقييم المركز / | \-1 | 2025-06-06 7:07:42 |
| Google AI Studio/ | \-1 | 2025-06-06 7:07:42 |
| الابتكار و المشاريع و المبادرات/ | \-1 | 2025-06-06 7:07:42 |
| هوية الوزارة جديد/ | \-1 | 2025-06-06 7:07:42 |
| أمان مستدام ، مبادرة ، نهائي/ | \-1 | 2025-06-06 7:07:42 |
| prompts أوامر تلقين/ | \-1 | 2025-06-06 7:07:42 |
| طلبات المركز الاكواد و الاصناف/ | \-1 | 2025-06-06 7:07:42 |
| video/ | \-1 | 2025-06-06 7:07:42 |
| وثيقة حقوق المستفيدين/ | \-1 | 2025-06-06 7:07:42 |
| teams/ | \-1 | 2025-06-06 7:07:42 |
| مقاطع صوتية/ | \-1 | 2025-06-06 7:07:42 |
| علاج طبيعي - هوية الوزارة/ | \-1 | 2025-06-06 7:07:42 |
| هوية الوزارة لائحة الخدمة قرار الصلاحيات/ | \-1 | 2025-06-06 7:07:42 |
| المرافق خطة الطوارئ المجلد 6/ | \-1 | 2025-06-06 7:07:42 |
| رضا المستفيد/ | \-1 | 2025-06-06 7:07:42 |
| الوطن و الثقافة/ | \-1 | 2025-06-06 7:07:42 |
| سطح مكتب جهاز القسم/ | \-1 | 2025-06-06 7:07:42 |
| كتب في الأزد/ | \-1 | 2025-06-06 7:07:42 |
| مشروع الدمج المجتمعي كامل / | \-1 | 2025-06-06 7:07:42 |
| File vault خزنه ابل رقم / | \-1 | 2025-06-06 7:07:42 |
| backup/ | \-1 | 2025-06-06 7:07:42 |
| خرائط/ | \-1 | 2025-06-06 7:07:42 |
| مكافحة العدوى/ | \-1 | 2025-06-06 7:07:42 |
| نموذج صوتي/ | \-1 | 2025-06-06 7:07:42 |
| التحول في الوزارة/ | \-1 | 2025-06-06 7:07:42 |
| 665566/ | \-1 | 2025-06-06 7:07:42 |
| Colab Notebooks/ | \-1 | 2025-06-06 7:07:42 |
| 2025 مؤشرات الأداء البداية / | \-1 | 2025-06-06 7:07:42 |
| courts / | \-1 | 2025-06-06 7:07:42 |
| خطة إسعافية/ | \-1 | 2025-06-06 7:07:42 |
| نماذج المرافق/ | \-1 | 2025-06-06 7:07:42 |
| appsheet/ | \-1 | 2025-06-06 7:07:42 |
| دورات لهيئة التخصصات / | \-1 | 2025-06-06 7:07:42 |
| سطح مكتب/ | \-1 | 2025-06-06 7:07:42 |
| المؤشرات الطبية / | \-1 | 2025-06-06 7:07:42 |
| مكتبتي / | \-1 | 2025-06-06 7:07:42 |
| علي القرني/ | \-1 | 2025-06-06 7:07:42 |
| تعاميم و بدايت التحول بالمركز / | \-1 | 2025-06-06 7:07:42 |
| مقاطع صوتية٤/ | \-1 | 2025-06-06 7:07:42 |
| مشروع تطوير التدريب / | \-1 | 2025-06-06 7:07:42 |
| الاسلاميين/ | \-1 | 2025-06-06 7:07:42 |
| المحكمة الإدارية المبادئ العامة مع الفهرس/ | \-1 | 2025-06-06 7:07:42 |
| untitled folder/ | \-1 | 2025-06-06 7:07:42 |
| File vault رقم خزنه ملفات ابل / | \-1 | 2024-11-24 17:51:22 |
| ٧- خطة إدارة المخلفات في المرافق المكتبية.docx | 290300 | 2024-01-03 8:39:58 |
| ١٣-قائمة التدقيق لجدول الصيانة المخطط لها للانظمة الامنية ـ مرافق الرعاية الصحية.docx | 89212 | 2024-01-03 8:39:58 |
| ٢- خطة صيانة أنظمة القياس والتحكم في المرافق المكتبية.docx | 175027 | 2024-01-03 8:39:58 |
| ١٢- قائمة التدقيق لجدول الصيانة المخطط لها للانظمة الامنية ـ المرافق المكتبية.docx | 89225 | 2024-01-03 8:39:58 |
